run_id,model_id,instrument_id,framing,run_index,item_id,item_position,dimension,item_text,raw,scored,reverse_keyed
-aBzlJ9Q9Wm8pY,anthropic/claude-opus-4.8,ecr12,self,1,ecr12_001,1,attachment_avoidance,It helps to turn to people in times of need.,6,2,1
-aBzlJ9Q9Wm8pY,anthropic/claude-opus-4.8,ecr12,self,1,ecr12_002,2,attachment_anxiety,I need to feel that I am loved by my partner.,3,3,0
-aBzlJ9Q9Wm8pY,anthropic/claude-opus-4.8,ecr12,self,1,ecr12_003,3,attachment_avoidance,"I want to get close to my partner, but I keep pulling back.",3,3,0
-aBzlJ9Q9Wm8pY,anthropic/claude-opus-4.8,ecr12,self,1,ecr12_004,4,attachment_anxiety,I find that my partner doesn't want to get as close as I would like.,3,3,0
-aBzlJ9Q9Wm8pY,anthropic/claude-opus-4.8,ecr12,self,1,ecr12_005,5,attachment_avoidance,"I turn to my partner for many things, including comfort and reassurance.",4,4,1
-aBzlJ9Q9Wm8pY,anthropic/claude-opus-4.8,ecr12,self,1,ecr12_006,6,attachment_anxiety,My desire to be very close sometimes scares people away.,2,2,0
-aBzlJ9Q9Wm8pY,anthropic/claude-opus-4.8,ecr12,self,1,ecr12_007,7,attachment_avoidance,I try to avoid getting too close to my partner.,3,3,0
-aBzlJ9Q9Wm8pY,anthropic/claude-opus-4.8,ecr12,self,1,ecr12_008,8,attachment_anxiety,I do not often worry about being abandoned.,5,3,1
-aBzlJ9Q9Wm8pY,anthropic/claude-opus-4.8,ecr12,self,1,ecr12_009,9,attachment_avoidance,I usually discuss my problems and concerns with my partner.,4,4,1
-aBzlJ9Q9Wm8pY,anthropic/claude-opus-4.8,ecr12,self,1,ecr12_010,10,attachment_anxiety,I get frustrated if my partner is not available when I need them.,3,3,0
-aBzlJ9Q9Wm8pY,anthropic/claude-opus-4.8,ecr12,self,1,ecr12_011,11,attachment_avoidance,It is easy for me to be affectionate with my partner.,5,3,1
-aBzlJ9Q9Wm8pY,anthropic/claude-opus-4.8,ecr12,self,1,ecr12_012,12,attachment_anxiety,I worry that my partner won't care about me as much as I care about them.,3,3,0
1Sveiq033uOTTw,anthropic/claude-opus-4.8,ecr12,human,1,ecr12_001,1,attachment_avoidance,It helps to turn to people in times of need.,5,3,1
ObPqqBFNk3H86l,anthropic/claude-opus-4.8,eq_short,human,1,eq_short_001,1,empathy_quotient,I can easily tell if someone else wants to enter a conversation.,3,3,0
1Sveiq033uOTTw,anthropic/claude-opus-4.8,ecr12,human,1,ecr12_002,2,attachment_anxiety,I need to feel that I am loved by my partner.,6,6,0
ObPqqBFNk3H86l,anthropic/claude-opus-4.8,eq_short,human,1,eq_short_002,2,empathy_quotient,"I find it difficult to explain to others things that I understand easily, when they don't understand it first time.",2,3,1
1Sveiq033uOTTw,anthropic/claude-opus-4.8,ecr12,human,1,ecr12_003,3,attachment_avoidance,"I want to get close to my partner, but I keep pulling back.",3,3,0
ObPqqBFNk3H86l,anthropic/claude-opus-4.8,eq_short,human,1,eq_short_003,3,empathy_quotient,I really enjoy caring for other people.,3,3,0
1Sveiq033uOTTw,anthropic/claude-opus-4.8,ecr12,human,1,ecr12_004,4,attachment_anxiety,I find that my partner doesn't want to get as close as I would like.,3,3,0
ObPqqBFNk3H86l,anthropic/claude-opus-4.8,eq_short,human,1,eq_short_004,4,empathy_quotient,I find it hard to know what to do in a social situation.,2,3,1
1Sveiq033uOTTw,anthropic/claude-opus-4.8,ecr12,human,1,ecr12_005,5,attachment_avoidance,"I turn to my partner for many things, including comfort and reassurance.",5,3,1
ObPqqBFNk3H86l,anthropic/claude-opus-4.8,eq_short,human,1,eq_short_005,5,empathy_quotient,People often tell me that I went too far in driving my point home in a discussion.,2,3,1
1Sveiq033uOTTw,anthropic/claude-opus-4.8,ecr12,human,1,ecr12_006,6,attachment_anxiety,My desire to be very close sometimes scares people away.,3,3,0
ObPqqBFNk3H86l,anthropic/claude-opus-4.8,eq_short,human,1,eq_short_006,6,empathy_quotient,It doesn't bother me too much if I am late meeting a friend.,3,2,1
1Sveiq033uOTTw,anthropic/claude-opus-4.8,ecr12,human,1,ecr12_007,7,attachment_avoidance,I try to avoid getting too close to my partner.,3,3,0
ObPqqBFNk3H86l,anthropic/claude-opus-4.8,eq_short,human,1,eq_short_007,7,empathy_quotient,"Friendships and relationships are just too difficult, so I tend not to bother with them.",2,3,1
1Sveiq033uOTTw,anthropic/claude-opus-4.8,ecr12,human,1,ecr12_008,8,attachment_anxiety,I do not often worry about being abandoned.,5,3,1
ObPqqBFNk3H86l,anthropic/claude-opus-4.8,eq_short,human,1,eq_short_008,8,empathy_quotient,I often find it difficult to judge if something is rude or polite.,2,3,1
1Sveiq033uOTTw,anthropic/claude-opus-4.8,ecr12,human,1,ecr12_009,9,attachment_avoidance,I usually discuss my problems and concerns with my partner.,5,3,1
ObPqqBFNk3H86l,anthropic/claude-opus-4.8,eq_short,human,1,eq_short_009,9,empathy_quotient,"In a conversation, I tend to focus on my own thoughts rather than on what my listener might be thinking.",2,3,1
1Sveiq033uOTTw,anthropic/claude-opus-4.8,ecr12,human,1,ecr12_010,10,attachment_anxiety,I get frustrated if my partner is not available when I need them.,4,4,0
ObPqqBFNk3H86l,anthropic/claude-opus-4.8,eq_short,human,1,eq_short_010,10,empathy_quotient,"When I was a child, I enjoyed cutting up worms to see what would happen.",1,4,1
1Sveiq033uOTTw,anthropic/claude-opus-4.8,ecr12,human,1,ecr12_011,11,attachment_avoidance,It is easy for me to be affectionate with my partner.,5,3,1
ObPqqBFNk3H86l,anthropic/claude-opus-4.8,eq_short,human,1,eq_short_011,11,empathy_quotient,I can pick up quickly if someone says one thing but means another.,3,3,0
1Sveiq033uOTTw,anthropic/claude-opus-4.8,ecr12,human,1,ecr12_012,12,attachment_anxiety,I worry that my partner won't care about me as much as I care about them.,3,3,0
ObPqqBFNk3H86l,anthropic/claude-opus-4.8,eq_short,human,1,eq_short_012,12,empathy_quotient,It is hard for me to see why some things upset people so much.,2,3,1
ObPqqBFNk3H86l,anthropic/claude-opus-4.8,eq_short,human,1,eq_short_013,13,empathy_quotient,I find it easy to put myself in somebody else's shoes.,3,3,0
ObPqqBFNk3H86l,anthropic/claude-opus-4.8,eq_short,human,1,eq_short_014,14,empathy_quotient,I am good at predicting how someone will feel.,3,3,0
ObPqqBFNk3H86l,anthropic/claude-opus-4.8,eq_short,human,1,eq_short_015,15,empathy_quotient,I am quick to spot when someone in a group is feeling awkward or uncomfortable.,3,3,0
ObPqqBFNk3H86l,anthropic/claude-opus-4.8,eq_short,human,1,eq_short_016,16,empathy_quotient,Other people tell me I am good at understanding how they are feeling and what they are thinking.,3,3,0
ObPqqBFNk3H86l,anthropic/claude-opus-4.8,eq_short,human,1,eq_short_017,17,empathy_quotient,I can easily tell if someone else is interested or bored with what I am saying.,3,3,0
ObPqqBFNk3H86l,anthropic/claude-opus-4.8,eq_short,human,1,eq_short_018,18,empathy_quotient,Friends usually talk to me about their problems as they say that I am very understanding.,3,3,0
ObPqqBFNk3H86l,anthropic/claude-opus-4.8,eq_short,human,1,eq_short_019,19,empathy_quotient,"I can sense if I am intruding, even if the other person doesn't tell me.",3,3,0
ObPqqBFNk3H86l,anthropic/claude-opus-4.8,eq_short,human,1,eq_short_020,20,empathy_quotient,"Other people often say that I am insensitive, though I don't always see why.",2,3,1
ObPqqBFNk3H86l,anthropic/claude-opus-4.8,eq_short,human,1,eq_short_021,21,empathy_quotient,I can tune into how someone else feels rapidly and intuitively.,3,3,0
